2019-11-12 20:40:42.206 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2c1b194a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4dbb42b7, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@66f57048, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@550dbc7a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@21282ed8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@36916eb0, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7bab3f1a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@437da279, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@23c30a20, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1e1a0406, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3cebbb30, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@12aba8be]
2019-11-12 20:45:42.239 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests], using SpringBootContextLoader
2019-11-12 20:45:42.271 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-12 20:45:42.276 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: NiceschoolapiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-12 20:45:42.653 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.nsapi.niceschoolapi.NiceschoolapiApplication for test class com.nsapi.niceschoolapi.NiceschoolapiApplicationTests
2019-11-12 20:45:43.075 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-11-12 20:45:43.158 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@957e06, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@32502377, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2c1b194a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4dbb42b7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@66f57048, org.springframework.test.context.transaction.TransactionalTestExecutionListener@550dbc7a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@21282ed8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@36916eb0, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7bab3f1a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@437da279, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@23c30a20, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1e1a0406]
2019-11-12 20:47:57.702 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests], using SpringBootContextLoader
2019-11-12 20:47:57.728 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-12 20:47:57.731 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: NiceschoolapiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
